URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/jurisdiction,4.0.1,active,"2.16.840.1.113883.4.642.3.48",Jurisdiction ValueSet,Jurisdiction,"This value set defines a base set of codes for country, country subdivision and region    for indicating where a resource is intended to be used.             Note: The codes for countries and country subdivisions are taken from    [ISO 3166](https://www.iso.org/iso-3166-country-codes.html)    while the codes for ""supra-national"" regions are from    [UN Standard country or area codes for statistical use (M49)](http://unstats.un.org/unsd/methods/m49/m49.htm).","StructureDefinition/jurisdiction-applicability","hl7.terminology.r4,Other"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/environment-type,0.1.0,active,,EnvironmentTypeValueSet,Environment Type Value Set,"Value set for environmental context types","StructureDefinition/mindfulness-context","Internal"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/environment-type-vs,0.1.0,active,,EnvironmentTypeVS,Practice Environment Types Value Set,"Value set of practice environment types",,"Internal"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/environmental-context,0.1.0,active,,EnvironmentalContextValueSet,Environmental Context Value Set,"Valid contexts for environmental measurements","StructureDefinition/environmental-context","Internal"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/exposure-conditions-vs,0.1.0,active,,ExposureConditionsVS,Exposure Conditions Value Set,"Value set for environmental exposure conditions","StructureDefinition/exposure-conditions","Internal"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/exposure-location-vs,0.1.0,active,,ExposureLocationVS,Exposure Location Value Set,"Value set for environmental exposure locations","StructureDefinition/exposure-location","Internal"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/fall-risk-outcomes,0.1.0,active,,FallRiskOutcomesValueSet,Fall Risk Outcomes Value Set,"Value set for fall risk assessment outcomes","StructureDefinition/mobility-risk-assessment","Internal"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/fertility-status-vs,0.1.0,active,,FertilityStatusValueSet,Fertility Status Value Set,"Value set for fertility status","StructureDefinition/fertility-observation","Internal"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/lifestyle-observation-vs,0.1.0,active,,LifestyleObservationVS,Lifestyle Medicine Observation Value Set,"Value set containing all local lifestyle medicine observation codes","StructureDefinition/activity-observation","Internal"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/measurement-conditions-vs,0.1.0,active,,MeasurementConditionsVS,Measurement Conditions Value Set,"Standard conditions under which measurements are taken","StructureDefinition/measurement-conditions","SCT"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/measurement-context-vital-signs,0.1.0,active,,MeasurementContextVitalSigns,Measurement Context Value Set,"Value set for measurement context in vital signs observations",,"SCT"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/measurement-context-vs,0.1.0,active,,MeasurementContextVS,Measurement Context Value Set,"Contexts in which measurements can be taken, including temporal and location-based contexts","StructureDefinition/measurement-context","SCT"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/measurement-device-type-vs,0.1.0,active,,MeasurementDeviceTypeVS,Measurement Device Type Value Set,"Types of devices used for health and body measurements","StructureDefinition/measurement-device-type","SCT"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/measurement-quality-vs,0.1.0,active,,MeasurementQualityVS,Measurement Quality Value Set,"Value set for measurement quality indicators","StructureDefinition/measurement-quality","Internal"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/mindfulness-outcome-vs,0.1.0,active,,MindfulnessOutcomeVS,Mindfulness Outcomes Value Set,"Value set for mindfulness practice outcomes","ConceptMap/MindfulnessDiagnosticMap","SCT,Internal"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/mindfulness-qualifier-vs,0.1.0,active,,MindfulnessQualifierVS,Mindfulness Practice Qualifiers Value Set,"Value set for mindfulness practice qualifiers",,"SCT,Internal"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/mindfulness-snomed-vs,0.1.0,active,,MindfulnessSNOMEDVS,Mindfulness SNOMED CT Value Set,"SNOMED CT codes for mindfulness-related concepts","ConceptMap/MindfulnessDiagnosticMap",
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/mindfulness-type,0.1.0,active,,MindfulnessTypeValueSet,Mindfulness Type Value Set,"Value set for types of mindfulness practices","StructureDefinition/mindfulness-observation","Internal"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/mindfulness-type-vs,0.1.0,active,,MindfulnessTypeVS,Mindfulness Practice Types Value Set,"Value set of mindfulness practice types",,"Internal"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/mobility-alert-level-vs,0.1.0,active,,MobilityAlertLevelVS,Mobility Alert Level Value Set,"Value set for mobility measurement alert levels used to categorize the severity of mobility changes or concerns","StructureDefinition/mobility-alert-level","Internal"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/mobility-decline-outcomes,0.1.0,active,,MobilityDeclineOutcomesValueSet,Mobility Decline Outcomes Value Set,"Value set for mobility decline assessment outcomes","StructureDefinition/mobility-risk-assessment","Internal"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/mood,0.1.0,active,,MoodValueSet,Mood Value Set,"Value set for mood states","StructureDefinition/mindfulness-observation,Questionnaire/social-history-health,Questionnaire/daily-mindfulness","Internal"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/nutrition-data-source-vs,0.1.0,active,,NutritionDataSourceVS,Nutrition Data Source Value Set,"Value set for nutrition data sources","StructureDefinition/nutrition-data-source","Internal"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/ovulation-test-vs,0.1.0,active,,OvulationTestValueSet,Ovulation Test Value Set,"Value set for ovulation test results","StructureDefinition/fertility-observation","Internal"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/physical-activity-type-vs,0.1.0,active,,PhysicalActivityTypeVS,Physical Activity Types Value Set,"Types of physical activities from iOS Health App","StructureDefinition/physical-activity-observation","SCT"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/practitioner-identifier-vs,0.1.0,active,,PractitionerIdentifierVS,Practitioner Identifier Value Set,"Value set para identificadores de practitioners",,"Internal"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/regulatory-framework-vs,0.1.0,active,,RegulatoryFrameworkVS,Regulatory Framework Value Set,"Regulatory frameworks for healthcare data protection","StructureDefinition/regulatory-basis","Internal"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/risk-level,0.1.0,active,,RiskLevelValueSet,Risk Level Value Set,"Value set for general risk levels","StructureDefinition/mobility-risk-assessment","Internal"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/social-activity-vs,0.1.0,active,,SocialActivityVS,Social Activity Value Set,"Value set for types of social activities","StructureDefinition/social-activity","Internal"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/social-context-vs,0.1.0,active,,SocialContextVS,Social Context Value Set,"Value set for social interaction contexts","StructureDefinition/social-context","Internal"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/social-history-activity-vs,0.1.0,active,,ReproductiveActivityVS,Reproductive Health Activities Value Set,"Activities related to social-history health monitoring",,"Internal"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/social-history-goal-vs,0.1.0,active,,ReproductiveGoalVS,Reproductive Health Goals Value Set,"Goals related to social-history health tracking and planning",,"SCT,LOINC"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/social-interaction-medium-vs,0.1.0,active,,SocialInteractionMediumVS,Social Interaction Medium Value Set,"Mediums through which social interaction occurs","StructureDefinition/social-interaction","Internal"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/social-interaction-quality-vs,0.1.0,active,,SocialInteractionQualityVS,Social Interaction Quality Value Set,"Quality measures for social interactions","StructureDefinition/social-interaction","Internal"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/social-interaction-type-vs,0.1.0,active,,SocialInteractionTypeVS,Social Interaction Type Value Set,"Types of social interactions","StructureDefinition/social-interaction","Internal"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/social-support-vs,0.1.0,active,,SocialSupportVS,Social Support Value Set,"Value set for levels of social support","StructureDefinition/social-support","Internal"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/stress-chronicity-vs,0.1.0,active,,StressChronicityVS,Stress Chronicity Value Set,"Value set for classifying stress chronicity","StructureDefinition/stress-level","Internal"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/stress-coping-vs,0.1.0,active,,StressCopingVS,Stress Coping Value Set,"Value set for stress coping mechanisms","StructureDefinition/stress-coping","Internal"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/stress-impact-vs,0.1.0,active,,StressImpactVS,Stress Impact Value Set,"Value set for describing stress impact levels","StructureDefinition/stress-level","Internal"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/stress-triggers-vs,0.1.0,active,,StressTriggersVS,Stress Triggers Value Set,"Value set for common stress triggers","StructureDefinition/stress-triggers","Internal"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/symptom-frequency-vs,0.1.0,active,,SymptomFrequencyVS,Symptom Frequency Value Set,"Frequency patterns for symptoms","Questionnaire/social-history-health,StructureDefinition/social-history-observation","Internal"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/symptom-impact-vs,0.1.0,active,,SymptomImpactVS,Symptom Impact Value Set,"Impact levels for symptoms",,"Internal"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/symptom-progression-vs,0.1.0,active,,SymptomProgressionVS,Symptom Progression Value Set,"Progression patterns for symptoms","StructureDefinition/social-history-observation","SCT"
https://2rdoc.pt/ig/ios-lifestyle-medicine/ValueSet/time-of-day-vs,0.1.0,active,,TimeOfDayVS,Time of Day Value Set,"Times of day for symptom occurrence",,"SCT"
